
$D,-0.919,-0.789,0.003
$D,-0.841,-0.565,0.003
$D,-0.890,-0.541,0.064
$D,-0.814,-0.553,0.055
$D,-0.829,-0.601,0.030
$D,-0.778,-0.641,-0.022
$D,-0.761,-0.580,-0.077
$D,-0.684,-0.587,0.270
$D,-0.847,-0.633,0.038
$D,-0.756,-0.675,0.127
$D,-0.855,-0.630,0.076
$D,-0.885,-0.571,0.074
$D,-0.821,-0.590,0.070
$D,-0.824,-0.563,0.071
$D,-0.823,-0.558,0.074
$D,-0.820,-0.552,0.075
$D,-0.824,-0.544,0.077
$D,-0.797,-0.522,0.083
$D,-0.821,-0.518,0.068
$D,-0.797,-0.510,0.085
$D,-0.811,-0.507,0.116
$D,-0.860,-0.532,0.118
$D,-0.914,-0.604,0.117
$D,-0.912,-0.601,0.103
$D,-0.903,-0.577,0.097
$D,-0.910,-0.575,0.105
$D,-0.920,-0.594,0.114
$D,-0.942,-0.609,0.114
$D,-0.912,-0.574,0.107
$D,-0.864,-0.528,0.113
$D,-0.849,-0.462,0.101
$D,-0.781,-0.486,0.158
$D,-0.693,-0.465,0.131
$D,-0.728,-0.450,0.136
$D,-0.703,-0.507,0.159
$D,-0.668,-0.611,0.172
$D,-0.698,-0.648,0.130
$D,-0.738,-0.660,0.124
$D,-0.738,-0.645,0.118
$D,-0.737,-0.607,0.140
$D,-0.712,-0.524,0.209
$D,-0.773,-0.592,-0.006
$D,-0.720,-0.663,-0.106
$D,-0.897,-0.582,-0.108
$D,-0.845,-0.574,-0.042
$D,-1.148,-0.762,0.199
$D,-0.804,-0.583,0.023
$D,-0.862,-0.575,-0.013
$D,-0.850,-0.521,0.013
$D,-0.846,-0.494,-0.042
$D,-0.877,-0.419,0.002
$D,-0.879,-0.488,0.067
$D,-0.890,-0.524,0.017
$D,-0.941,-0.436,0.016
$D,-0.950,-0.482,0.008
$D,-0.952,-0.480,-0.004
$D,-0.939,-0.425,-0.022
$D,-1.004,-0.399,-0.010
$D,-0.975,-0.393,-0.033
$D,-0.962,-0.313,-0.034
$D,-0.960,-0.303,-0.005
$D,-0.947,-0.290,-0.018
$D,-0.963,-0.275,-0.015
$D,-0.964,-0.273,-0.017
$D,-0.956,-0.252,-0.022
$D,-0.943,-0.227,-0.015
$D,-0.915,-0.196,-0.021
$D,-0.909,-0.186,-0.010
$D,-0.896,-0.209,0.009
$D,-0.956,-0.167,0.043
$D,-1.033,-0.175,0.069
$D,-1.046,-0.151,-0.015
$D,-1.052,-0.120,-0.063
$D,-1.011,-0.123,-0.059
$D,-1.008,-0.118,-0.062
$D,-0.999,-0.120,-0.060
$D,-0.981,-0.152,-0.061
$D,-1.283,0.076,-0.026
$D,-1.069,-0.115,0.011
$D,-1.057,-0.132,-0.033
$D,-1.021,-0.077,-0.062
$D,-0.969,-0.044,-0.062
$D,-0.960,-0.057,-0.058
$D,-0.968,-0.076,-0.058
$D,-0.971,-0.072,-0.057
$D,-0.992,-0.048,-0.064
$D,-0.993,-0.011,-0.050
$D,-0.996,-0.002,-0.055
$D,-0.999,-0.003,-0.054
$D,-0.991,-0.001,-0.057
$D,-0.999,-0.000,-0.057
$D,-0.985,-0.004,-0.042
$D,-0.968,-0.009,-0.023
$D,-0.945,-0.023,-0.016
$D,-0.939,-0.015,-0.027
