
$D,-0.481,0.797,0.186
$D,-0.483,0.881,0.177
$D,-0.460,0.837,0.211
$D,-0.487,0.857,0.288
$D,-0.544,0.924,0.119
$D,-0.606,0.803,0.165
$D,-0.538,0.825,0.225
$D,-0.453,0.754,0.238
$D,-0.435,0.782,0.234
$D,-0.433,0.807,0.195
$D,-0.414,0.822,0.156
$D,-0.484,0.912,0.215
$D,-0.499,0.934,0.242
$D,-0.455,0.957,0.309
$D,-0.445,0.875,0.358
$D,-0.439,0.866,0.283
$D,-0.368,0.889,0.202
$D,-0.352,0.917,0.231
$D,-0.367,0.969,0.349
$D,-0.381,0.797,0.364
$D,-0.441,0.804,0.322
$D,-0.465,0.829,0.201
$D,-0.518,0.895,0.276
$D,-0.493,0.757,0.371
$D,-0.347,0.767,0.435
$D,-0.412,0.738,0.308
$D,-0.580,0.987,0.294
$D,-0.565,0.905,0.195
$D,-0.334,0.734,0.500
$D,-0.371,0.738,0.485
$D,-0.386,0.756,0.436
$D,-0.400,0.502,0.187
$D,-0.530,0.636,0.092
$D,-0.553,1.110,0.516
$D,-0.471,0.643,0.228
$D,-0.604,0.774,0.266
$D,-0.587,0.753,0.204
$D,-0.550,0.847,0.234
$D,-0.515,0.922,0.286
$D,-0.591,0.867,0.201
$D,-0.647,0.789,0.109
$D,-0.628,0.832,0.263
$D,-0.625,0.636,0.200
$D,-0.706,0.716,0.090
$D,-0.754,0.708,0.086
$D,-0.766,0.717,0.096
$D,-0.774,0.744,0.110
$D,-0.786,0.762,0.139
$D,-0.577,0.548,0.190
$D,-0.616,0.544,0.171
$D,-0.666,0.684,0.177
$D,-0.639,0.655,0.228
$D,-0.599,0.705,0.283
$D,-0.615,0.834,0.236
$D,-0.531,0.758,0.150
$D,-0.540,0.515,0.215
$D,-0.557,0.807,0.183
$D,-0.604,0.919,0.189
$D,-0.573,0.888,0.161
$D,-0.625,0.809,0.142
$D,-0.537,0.887,0.159
$D,-0.511,0.876,0.105
$D,-0.493,0.880,0.078
$D,-0.470,0.824,0.053
$D,-0.471,0.854,0.155
$D,-0.496,0.870,0.237
$D,-0.505,0.830,0.233
$D,-0.509,0.853,0.180
$D,-0.527,0.806,0.140
$D,-0.513,0.806,0.084
$D,-0.463,0.812,0.067
$D,-0.419,0.834,0.078
$D,-0.401,0.831,0.078
$D,-0.379,0.833,0.099
$D,-0.413,0.857,0.090
$D,-0.522,0.919,0.080
$D,-0.721,0.845,0.150
$D,-0.788,0.591,0.091
$D,-0.594,0.666,-0.080
$D,-0.000,1.140,-0.055
$D,-0.564,1.035,0.279
$D,-0.418,1.271,0.146
$D,-0.845,1.034,0.350
$D,0.181,0.681,-0.206
$D,-0.451,1.016,-0.252
$D,-0.475,0.942,-0.251
$D,-0.438,0.791,0.040
$D,-0.781,0.554,0.224
$D,-0.774,0.631,0.102
$D,-0.658,0.693,-0.025
$D,-0.621,0.836,0.042
$D,-0.557,0.801,0.153
$D,-0.600,0.758,0.220
$D,-0.605,0.643,0.175
$D,-0.655,0.685,0.109
$D,-0.653,0.675,0.127
$D,-0.663,0.691,0.140
$D,-0.663,0.696,0.095
$D,-0.754,0.722,0.140
$D,-0.676,0.669,0.151
$D,-0.732,0.600,0.136
$D,-0.803,0.508,0.116
$D,-0.820,0.595,0.068
$D,-0.833,0.638,0.100
$D,-0.828,0.633,0.076
$D,-0.802,0.514,0.096
$D,-0.987,0.397,0.046
$D,-0.953,0.428,0.019
$D,-0.916,0.509,-0.036
$D,-0.836,0.558,-0.005
$D,-0.869,0.517,0.113
$D,-0.869,0.420,0.127
$D,-0.874,0.416,0.078
$D,-1.014,0.572,0.075
$D,-1.048,0.593,0.110
$D,-0.909,0.419,0.152
$D,-0.872,0.218,0.072
$D,-0.879,0.412,0.053
$D,-0.878,0.493,0.110
$D,-0.838,0.521,0.150
$D,-0.822,0.462,0.140
$D,-0.818,0.413,0.113
$D,-0.823,0.351,0.118
$D,-0.882,0.342,0.133
$D,-0.889,0.360,0.123
$D,-0.885,0.370,0.150
$D,-0.871,0.410,0.068
$D,-0.924,0.525,0.124
$D,-0.842,0.445,0.104
$D,-0.824,0.395,0.113
$D,-0.878,0.335,0.092
$D,-0.926,0.335,0.025
$D,-1.039,0.472,-0.004
$D,-0.885,0.336,0.004
$D,-0.917,0.352,0.060
$D,-0.987,0.279,0.019
$D,-1.057,0.337,-0.020
$D,-1.042,0.216,-0.029
$D,-1.027,0.138,0.017
$D,-0.885,0.173,0.031
$D,-0.901,0.213,0.048
$D,-0.992,0.210,0.141
$D,-0.964,0.155,0.159
$D,-0.950,0.134,0.125
$D,-1.023,0.193,0.128
$D,-0.984,0.169,0.130
$D,-0.986,0.131,0.106
$D,-1.006,0.099,0.082
$D,-1.017,0.076,0.068
$D,-1.032,0.079,0.030
$D,-1.037,0.049,0.044
$D,-1.025,-0.003,0.044
$D,-1.035,0.019,0.039
$D,-1.025,0.003,0.047
$D,-0.999,-0.041,0.052
$D,-0.999,-0.055,0.047
$D,-1.005,-0.047,0.004
$D,-0.923,-0.103,0.009
$D,-0.976,-0.071,0.017
$D,-1.084,0.004,-0.056
$D,-1.001,0.027,0.128
$D,-0.966,0.148,0.408
$D,-1.045,0.028,-0.010
$D,-0.997,0.054,0.137
$D,-0.992,0.025,0.120
$D,-0.997,0.014,0.122
$D,-0.999,0.001,0.112
$D,-1.002,0.003,0.131
$D,-1.070,0.050,0.179
$D,-0.995,0.017,0.064
$D,-0.990,0.005,0.103
$D,-0.974,-0.025,0.103
$D,-0.971,-0.043,0.090
$D,-0.981,-0.039,0.087
$D,-0.988,-0.028,0.083
$D,-0.985,-0.023,0.062
$D,-0.998,-0.023,0.093
$D,-0.980,-0.032,0.085
$D,-0.983,-0.012,0.069
$D,-0.972,-0.030,0.077
$D,-0.960,-0.073,0.072
$D,-0.979,-0.030,0.060
$D,-0.999,0.039,0.046
$D,-0.973,-0.053,-0.047
$D,-0.920,-0.181,0.059
$D,-0.891,0.125,0.541
$D,-0.967,0.132,0.402
$D,-1.111,0.043,0.050
$D,-1.049,0.112,0.112
$D,-1.052,-0.016,0.029
$D,-0.975,-0.086,0.032
$D,-0.971,-0.076,0.044
$D,-0.949,-0.087,0.054
$D,-0.981,-0.062,0.076
$D,-1.000,-0.065,0.096
$D,-0.982,-0.078,0.087
$D,-0.947,-0.096,0.085
$D,-0.880,-0.042,0.031
$D,-0.939,-0.115,0.015
$D,-0.945,-0.200,0.076
$D,-1.060,-0.273,-0.107
$D,-0.936,-0.280,0.134
$D,-0.750,-0.216,0.202
$D,-0.835,-0.357,0.115
$D,-0.935,-0.166,0.034
$D,-0.778,-0.258,0.032
$D,-0.989,-0.219,0.095
$D,-0.971,-0.226,0.111
$D,-0.906,-0.291,0.125
$D,-0.956,-0.199,0.039
$D,-1.067,-0.273,0.028
$D,-1.062,-0.304,0.025
$D,-1.060,-0.287,0.030
$D,-1.016,-0.263,0.063
$D,-0.901,-0.259,0.105
$D,-0.779,-0.473,0.046
$D,-0.960,-0.442,-0.048
$D,-0.851,-0.391,0.032
$D,-0.907,-0.365,0.108
$D,-0.927,-0.424,0.060
$D,-0.961,-0.450,0.058
$D,-0.989,-0.471,0.047
$D,-0.993,-0.484,0.020
$D,-0.915,-0.471,0.034
$D,-0.971,-0.477,0.021
$D,-1.024,-0.477,0.014
$D,-0.998,-0.467,0.013
$D,-0.961,-0.487,0.015
$D,-0.862,-0.556,0.025
$D,-0.375,-0.866,-0.541
$D,-1.097,0.087,0.957
$D,-1.078,-0.291,0.199
$D,-0.952,-0.378,0.002
$D,-0.885,-0.312,0.023
$D,-0.866,-0.330,0.054
$D,-0.857,-0.366,0.075
$D,-0.875,-0.392,0.081
$D,-0.903,-0.380,0.104
$D,-0.911,-0.349,0.107
$D,-0.911,-0.347,0.090
$D,-0.899,-0.373,0.101
$D,-0.866,-0.402,0.108
$D,-0.919,-0.386,0.134
$D,-1.065,-0.298,0.112
$D,-0.899,-0.377,0.014
$D,-0.895,-0.298,0.137
$D,-0.874,-0.343,0.081
$D,-0.877,-0.319,0.136
$D,-0.973,-0.150,0.102
$D,-1.048,-0.171,0.186
$D,-0.892,-0.345,0.157
$D,-0.908,-0.308,0.111
$D,-0.920,-0.276,0.143
$D,-0.966,-0.230,0.176
$D,-0.966,-0.261,0.158
$D,-0.963,-0.267,0.160
$D,-0.957,-0.264,0.159
$D,-0.958,-0.232,0.145
$D,-0.933,-0.224,0.147
$D,-0.925,-0.213,0.153
$D,-0.910,-0.215,0.171
$D,-0.911,-0.222,0.190
$D,-0.927,-0.227,0.187
$D,-0.942,-0.223,0.174
$D,-0.956,-0.217,0.164
$D,-0.975,-0.214,0.170
$D,-0.985,-0.224,0.177
$D,-0.943,-0.226,0.177
$D,-0.960,-0.230,0.185
$D,-0.965,-0.217,0.175
$D,-0.966,-0.216,0.166
$D,-0.956,-0.205,0.175
$D,-0.951,-0.209,0.185
$D,-0.977,-0.224,0.200
$D,-0.972,-0.206,0.184
$D,-0.965,-0.211,0.182
$D,-0.946,-0.214,0.180
$D,-0.939,-0.210,0.176
$D,-0.950,-0.205,0.184
$D,-0.975,-0.193,0.186
$D,-0.950,-0.163,0.183
$D,-0.936,-0.165,0.161
$D,-0.939,-0.156,0.172
$D,-0.953,-0.153,0.202
$D,-0.940,-0.188,0.201
$D,-0.941,-0.205,0.189
$D,-0.944,-0.181,0.204
$D,-0.967,-0.171,0.199
$D,-0.972,-0.172,0.190
$D,-0.967,-0.183,0.186
$D,-0.970,-0.189,0.178
$D,-0.970,-0.160,0.204
$D,-0.976,-0.161,0.226
$D,-0.964,-0.177,0.228
$D,-0.958,-0.192,0.214
$D,-0.951,-0.180,0.214
$D,-0.978,-0.190,0.189
$D,-0.974,-0.180,0.181
